Category	Frequency	Word	Decade
instruments	1.668190313420189e-06	flute	1870
instruments	1.8536024190399386e-06	flute	1880
instruments	2.0536436479983657e-06	flute	1890
instruments	2.0150133239406753e-06	flute	1900
instruments	1.7748999591810267e-06	flute	1910
instruments	2.335630207285345e-06	flute	1920
instruments	2.6391495806874055e-06	flute	1930
instruments	2.3625091358400606e-06	flute	1940
instruments	2.1204340190356e-06	flute	1950
instruments	1.824282491452009e-06	flute	1960
instruments	1.6723283680374071e-06	flute	1970
instruments	1.536094219410235e-06	flute	1980
instruments	1.3677411271696379e-06	flute	1990
instruments	7.55390757730571e-06	horn	1800
instruments	7.124494689274014e-06	horn	1810
instruments	7.08923321815013e-06	horn	1820
instruments	7.128199658016858e-06	horn	1830
instruments	6.85273388370988e-06	horn	1840
instruments	9.066015073805755e-06	horn	1850
instruments	8.021071009123564e-06	horn	1860
instruments	7.795461654763733e-06	horn	1870
instruments	8.3374887924688e-06	horn	1880
instruments	9.372371932815019e-06	horn	1890
instruments	9.344525417678516e-06	horn	1900
instruments	8.385134112019843e-06	horn	1910
instruments	7.836893919681203e-06	horn	1920
instruments	8.134514395094303e-06	horn	1930
instruments	7.470899836799636e-06	horn	1940
instruments	7.00464477771804e-06	horn	1950
instruments	6.1771145802230785e-06	horn	1960
instruments	5.989267851640351e-06	horn	1970
instruments	6.468754438609975e-06	horn	1980
instruments	6.051815591348515e-06	horn	1990
instruments	0.0	saxophone	1800
instruments	0.0	saxophone	1810
instruments	0.0	saxophone	1820
instruments	0.0	saxophone	1830
instruments	0.0	saxophone	1840
instruments	0.0	saxophone	1850
instruments	0.0	saxophone	1860
instruments	0.0	saxophone	1870
instruments	0.0	saxophone	1880
instruments	0.0	saxophone	1890
instruments	3.3369332523551418e-09	saxophone	1900
instruments	7.594840774793671e-09	saxophone	1910
instruments	2.0089448653374014e-08	saxophone	1920
instruments	4.609502284465142e-08	saxophone	1930
instruments	7.131716752951146e-08	saxophone	1940
instruments	5.364024446485393e-08	saxophone	1950
instruments	5.655352406245719e-08	saxophone	1960
instruments	9.108609051043336e-08	saxophone	1970
instruments	8.554787588237753e-08	saxophone	1980
instruments	1.511634516089918e-07	saxophone	1990
instruments	9.676080365413322e-07	violin	1800
instruments	1.0664639154833646e-06	violin	1810
instruments	1.1581083851495854e-06	violin	1820
instruments	1.199782729119137e-06	violin	1830
instruments	9.345129896785187e-07	violin	1840
instruments	1.0615393208059582e-06	violin	1850
instruments	1.2256659040836387e-06	violin	1860
instruments	1.6983508614807783e-06	violin	1870
instruments	1.92804428325841e-06	violin	1880
